Ajuste Fecha;Dia Semana;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79;Unnamed: 81;Total Cantidad;dt_iso;temp;dew_point;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;wind_deg;wind_gust;rain_1h;clouds_all;weather_main;weather_description;Estacion;EsFeriado
2022-01-01;Lunes;5.36;12.45;5.47;5.03;;12.41;11.6;5.6;6.22;11.21;;11.71;12.54;6.1;17.08;5.98;;11.21;5.74;12.91;16.95;11.32;5.72;23.83;7.42;6.06;18.48;13.96;13.99;8.46;11.24;8.0;4.0;;5.55;;;;24.0;24.0;12.0;1.06;1.09;13.29;6.69;1.0;2.0;13.7;5.04;417.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022-01-01;25.9504;17.770799999999998;26.3372;21.34;32.17;1002.68;64.0;3.27;86.0;4.47;0.51;40.0;Clouds;sky is clear;Verano;True
2022-01-02;Jueves;22.92;;26.5;;;32.5;5.08;5.12;;25.26;11.66;;31.2;5.84;;15.57;;5.66;18.99;30.62;17.83;16.83;11.19;11.33;22.89;;32.29;13.7;36.49;;;24.54;16.03;;26.01;13.07;;;24.34;;12.55;18.72;;25.99;;21.09;23.91;;;4.0;5.15;17.71;;;;;;;;;540.0;12.63;200.0;;;120.0;;120.0;120.0;;1.07;;37.09;43.6;;20.0;50.0;28.03;11.63;;-883,63;2022-01-02;25.956666666666667;19.7925;27.260416666666668;17.88;34.43;1004.5416666666666;80.0;2.57;60.0;;0.51;0.5;Clear;sky is clear;Verano;False
2022-01-03;Jueves;34.39;;35.99;;;32.64;20.1;20.37;;49.79;17.71;;18.51;6.33;;18.14;;;18.09;42.61;16.45;34.07;22.46;5.47;35.62;;60.89;20.82;41.58;;;28.7;26.47;;24.66;18.26;;;28.52;;25.05;6.05;;25.98;;21.14;17.8;12.0;;4.0;4.5;24.59;;;;;;;;;360.0;7.28;;;;600.0;;120.0;360.0;;3.17;3.29;30.47;37.01;;20.0;50.0;25.95;10.61;;-1.088,53;2022-01-03;28.290399999999998;20.2564;29.7392;21.0;35.81;1006.76;67.0;2.06;150.0;0.89;3.3;0.0;Clear;sky is clear;Verano;False
2022-01-04;Domingo;10.66;;12.38;;;21.97;;10.21;;22.96;11.5;;12.18;;;10.77;;;12.53;18.18;5.57;10.68;10.62;5.87;17.22;;23.52;6.4;5.43;;;11.6;10.9;;11.86;;;;5.4;;;5.96;;6.59;;6.96;16.79;8.0;;8.0;;6.03;;;;;;;;;360.0;;;;;;;120.0;;;;1.02;11.89;11.54;;10.0;10.0;11.3;5.59;;-418,08;2022-01-04;26.944615384615382;19.070384615384615;27.760384615384616;20.08;33.34;1006.1538461538462;69.0;4.955;198.5;2.68;1.9;0.0;Clear;sky is clear;Verano;False
2022-01-05;Martes;11.42;;23.53;;;18.89;5.05;5.07;;26.02;5.47;;18.09;;;29.78;;6.6;20.08;27.0;5.65;29.05;16.41;;4.58;;23.51;12.75;16.89;;;6.02;5.19;;18.07;33.13;;;11.52;;;12.55;;6.13;;6.95;12.49;16.0;;4.0;22.17;10.24;;;;;;;;;720.0;11.99;200.0;;;240.0;;;;;1.04;3.06;18.13;25.47;;60.0;70.0;12.66;11.94;;-683,59;2022-01-05;24.381249999999998;11.405833333333334;23.972916666666666;16.75;31.68;1013.75;53.5;4.885;125.0;3.13;;0.0;Clear;sky is clear;Verano;False
2022-01-06;Viernes;;;6.15;;;5.53;5.01;;;6.54;11.52;;;;;;;;6.04;6.63;;;;5.63;5.64;;5.48;6.78;5.55;;;;;;;;;;5.49;;;;;;;;;4.0;;4.0;;;;;;;;;;;540.0;;200.0;;;;;;;;;1.0;;;;10.0;;;;;-165,99;2022-01-06;23.38208333333333;11.512916666666667;22.769166666666667;14.0;31.68;1015.2083333333334;52.0;4.63;100.0;3.355;;0.0;Clear;sky is clear;Verano;False
2022-01-07;Domingo;10.88;;;;;16.09;10.09;10.19;;11.76;10.69;;;;;11.2;;5.86;13.34;23.01;;16.8;11.75;;5.93;;23.67;6.79;28.04;;;20.22;4.58;;12.05;6.47;;;11.28;;10.99;;;;;;;8.0;8.0;4.0;15.79;10.97;;;;;;;;;180.0;12.0;200.0;;;120.0;;240.0;;1.0;;;6.34;11.13;;10.0;10.0;12.55;10.39;;-457,85;2022-01-07;25.496666666666666;14.87;25.387916666666666;17.0;34.45;1013.9583333333334;50.5;3.6;90.0;3.5749999999999997;;0.0;Clear;sky is clear;Verano;False
2022-01-08;Miércoles;20.07;;20.01;;27.0;10.61;20.13;30.94;;5.75;21.42;;;12.67;;5.42;;6.45;6.13;11.48;6.03;17.78;;5.01;5.42;;30.61;;11.3;;;7.11;17.09;;32.55;11.52;;;11.36;;;;;5.53;;;11.33;8.0;8.0;8.0;6.03;5.01;;;;;;;;;1080.0;11.95;200.0;;240.0;240.0;;360.0;120.0;1.01;3.13;2.09;7.31;6.49;;10.0;10.0;6.53;4.75;;-675,02;2022-01-08;26.610833333333332;15.499583333333334;26.488333333333333;18.43;33.34;1013.5;53.0;4.12;100.0;5.81;;0.0;Clear;sky is clear;Verano;False
2022-01-09;Sábado;16.68;;19.22;;;11.78;25.19;10.22;;12.72;11.91;;19.17;;;21.61;;11.16;19.06;5.92;5.96;17.57;11.41;5.25;11.31;;11.33;11.94;11.54;;;21.08;5.11;;6.02;;;;6.14;;5.73;6.73;;7.14;;;;4.0;8.0;8.0;12.45;4.89;;;;;;;;;1620.0;6.76;400.0;;120.0;120.0;;120.0;240.0;;;2.04;17.49;12.89;;10.0;20.0;11.97;10.06;;-692,45;2022-01-09;26.960416666666664;15.532499999999999;27.076666666666668;17.88;36.12;1012.125;55.5;3.62;90.0;3.58;;0.0;Clear;sky is clear;Verano;False
2022-01-10;Lunes;10.56;;29.63;;;16.06;5.02;5.08;;22.89;11.68;;11.93;18.24;;16.34;;11.7;11.67;35.16;17.25;28.06;11.09;6.39;17.37;;48.26;12.96;29.83;;;18.25;14.44;;18.25;12.06;;;10.02;;11.42;12.54;;19.9;;7.47;17.23;4.0;;4.0;4.17;5.98;;;;;;;;;180.0;11.72;;;;;;120.0;;;1.05;3.09;30.21;30.65;;;40.0;5.97;6.88;;-660,47;2022-01-10;29.88875;16.692916666666665;30.152083333333334;17.88;39.52;1011.2916666666666;51.0;2.06;100.0;3.13;;0.0;Clear;sky is clear;Verano;False
2022-01-11;Jueves;;;16.63;;;6.05;5.01;;5.34;17.64;5.94;;7.12;;;5.01;;5.68;5.15;23.81;5.58;5.73;5.3;5.63;13.92;;23.72;;25.03;;;10.95;11.94;;12.5;;;;5.68;5.51;;6.53;;5.91;;;;;;;;;;;;;;;;;540.0;5.74;;;;;;240.0;;;;;11.3;12.75;;10.0;;10.74;;;-366,84;2022-01-11;30.155;17.370833333333334;30.767083333333332;18.0;41.19;1009.2916666666666;47.5;1.54;155.0;1.79;;0.0;Clear;sky is clear;Verano;False
2022-01-12;Sábado;11.08;;17.84;;;18.15;10.16;20.35;;17.05;16.97;;11.62;6.7;;5.36;;11.33;17.52;18.14;;16.6;11.45;;11.5;;36.03;18.91;18.22;;;12.14;27.75;;12.9;14.16;;;22.64;5.86;11.65;6.34;;13.36;;22.93;13.62;;4.0;;;5.06;;;;;;;;;20.0;7.43;;;;;;;120.0;1.02;3.04;;17.53;5.7;;;20.0;6.28;5.12;;-529,51;2022-01-12;31.888333333333335;18.00916666666667;33.004583333333336;22.88;41.19;1011.3333333333334;47.5;2.135;110.0;0.89;;0.0;Clear;sky is clear;Verano;False
2022-01-13;Sábado;4.69;24.95;14.45;25.12;10.17;24.05;17.08;30.97;7.41;22.61;11.81;17.68;19.0;;16.72;11.83;17.12;29.34;38.71;13.89;17.56;24.12;22.92;37.09;22.25;22.5;22.74;13.47;13.53;6.75;6.67;;;5.69;15.35;18.0;13.06;;12.0;12.0;;1.14;;18.74;19.56;1.0;;;5.06;688.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022-01-13;32.475;16.76125;33.255833333333335;21.75;42.79;1011.0416666666666;44.0;3.8600000000000003;62.5;3.58;;0.0;Clear;sky is clear;Verano;False
2022-01-14;Domingo;11.7;12.93;5.83;;10.19;23.69;23.52;44.03;5.77;27.55;5.98;31.02;20.97;11.78;17.3;16.53;6.47;12.18;38.07;6.81;35.1;18.09;;41.43;22.16;22.8;27.94;27.05;39.88;6.48;20.13;;8.0;21.66;16.43;54.0;12.55;200.0;24.0;;12.0;;2.09;50.59;13.3;2.0;2.0;33.4;10.14;875.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022-01-14;32.619166666666665;12.221666666666666;32.02041666666667;21.77;41.68;1008.5833333333334;30.0;5.145;65.0;2.68;;0.0;Clear;sky is clear;Verano;False
2022-01-15;Lunes;32.45;42.69;17.05;15.08;;42.03;21.91;32.86;22.8;25.22;22.89;31.7;76.45;12.23;37.13;26.83;5.54;46.61;65.14;13.56;25.35;18.13;33.95;48.47;35.73;40.38;35.58;20.64;39.23;21.25;19.36;;4.0;17.61;21.67;18.0;;;12.0;36.0;12.0;1.11;1.11;43.12;43.48;3.0;3.0;32.88;26.47;1203.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2022-01-15;33.26291666666667;18.51625;34.9625;25.0;40.0;1006.2083333333334;42.5;3.6;43.5;1.79;0.21;0.0;Clear;sky is clear;Verano;False
