Ajuste Fecha;Dia Semana;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79;;Total Cantidad
8/7/19 0:00;Lunes;20,61;38,54;22,36;20,7;15,74;17,69;47,42;25,69;;23,04;;18,16;16,11;11,84;20,81;29,13;;30,16;33,47;;23,72;38,65;20,33;18,27;27,26;44,09;18,55;6,12;26,91;14,57;17,23;20;16;11,28;20,1;782;5,7;;133;183;108;;;31,38;;;1;20,59;19,94;1.999,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/7/19 0:00;Martes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-4;;;;;;;-12;-12;-12;;;;;;;;;-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/7/19 0:00;Miércoles;;-5,56;;;;;;;;;;;;;;;;-5,66;-5,62;;;-6,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/7/19 0:00;Jueves;-4,84;;;;;;-5,41;;;;;;;-5,92;;;;;;;;;;;;;;;;;-5,57;;;;;;;;;;;;;;;;;;;-21,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/7/19 0:00;Viernes;21,5;19,28;33,16;24,78;15,33;;37,62;12,44;;21,92;;;17,91;;11,14;31,1;;51,35;38,11;;7,17;39,68;36,03;39,37;40,7;29,12;-0,19;19,21;25,94;7,74;12,32;;;;18,7;150;9,66;;24;12;12;;;12,24;;;;38,56;4,76;874,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/7/19 0:00;Sábado;-5,29;-13,21;-5,86;-4,96;;;-5,64;-6,22;;-6,62;;-5,91;-5,4;;-5,57;-5,64;;-5,93;-10,67;;-5,58;-12,95;-5,71;-6,82;;-12,12;;;-6,13;-7,74;-6,17;-1;-1;;;-30;;;-13;;-7;;;-6,5;;;;;-5,15;-213,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/7/19 0:00;Domingo;;-7,3;-5,57;;;;-6,19;;;;;;;;-5,04;;;;-5,53;;;-6,88;-5,24;-6,08;;-5,8;-6,16;-6,43;;;;;;-5,82;;-60;;;;-12;;;;;;;;-7,42;;-151,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/7/19 0:00;Lunes;;;;;;;;;;;;;;;;;;;;;-6,57;;;;;;;;;;;-1;;;;-30;;;;;-11;;;;;;;;;-48,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/7/19 0:00;Martes;-4,93;-7,75;-5,15;-4,96;;;-6,17;-6,28;;;;-6,75;-6,07;;-5,36;-9,74;;-6,23;-12,66;;-5,71;-13,24;-9;-12,14;;-15,68;-6,14;;;;-5,52;;-4;-5,61;;;;;;-12;-12;;;-5,73;;;;;-4,94;-193,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/7/19 0:00;Miércoles;34,92;19,7;44,97;35,04;;14,17;29,71;26,64;;19,99;;27,79;36,58;18,76;25,5;28,7;;12,49;61,58;36,01;59,17;12,88;30,41;23,72;33,17;31,29;18,62;11,89;41,05;23,01;22,78;2;;16,96;31,32;-30;;20;84;12;80;;;17,28;;;13;46,96;28,08;1.102,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/7/19 0:00;Jueves;-5,99;;;;;;;;;-5,45;;;;-6,51;-5,51;;;;;;;;;;;;;;;;;;-1;;-6,88;;;;;;-12;;;;;;;-7,18;;-50,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/7/19 0:00;Viernes;-5,24;-7,44;;;;;;;;;;;-6,12;;;;;;;;-5,51;;;;;-5,63;;;;;;;;;;;;;;-12;;;;;;;;;;-41,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/7/19 0:00;Sábado;;;-5,78;-10,08;-4,82;;;-6,14;;-5,61;;-5,95;-11,92;;;;;-5,51;-11,42;;;;-4,6;-6,48;-13,56;;;-6,39;-6,84;;;;;;-7,01;-30;;;;;-2;;;;;;;-6,14;;-150,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/7/19 0:00;Domingo;;;-11,74;;;;;-7,07;;-5,25;;;;;-5,49;-5,1;;;;;;;;;;;;;;;;;;;-7,29;;;;-18;-1;-6;;;-5,83;;;;;-5,94;-78,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/7/19 0:00;Lunes;-6;-14,52;-6,01;-5,02;;;-12,78;;;;;-7,06;-6,53;;-10,52;-5,05;;-6,01;-11,86;-7,06;-5,92;-6,75;-4,89;-12,18;-6,94;-5,61;;;-14,19;-7,05;-13,05;;;;;-30;;;-13;-12;-13;;;-6,22;;;-1;-7,26;-6,16;-263,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/7/19 0:00;Martes;-5,2;-7,22;-5,77;;;;;-7,01;;-10,54;;;-11,91;;;;;-5,92;-12,37;;-5,8;;-5,51;;-6,23;;-6,54;;;;-6,24;;;-11,84;;;;;-5;-4;-1;;;-11,07;;;;-6,4;;-135,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/7/19 0:00;Miércoles;;;-5,86;-5;-4,98;;;-7,14;;-4,97;;;-6,04;;-5,22;-4,87;;-4,88;;;;;;-6,5;;-5,62;-6,34;;;;-5,71;-1;;-5,89;-7,14;-1;-10,54;-20;;-12;-24;;;;;;;-6,84;-4,95;-166,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
